geometry.coordinates	route_name	name	stop_number	stop_modifier
144.972348,-37.7680368	Tram 1: East Coburg => South Melbourne Beach	Victoria Street	124	
144.972348,-37.7680368	Tram 6: Moreland railway station => Glen Iris	Victoria Street	124	
144.9715428,-37.7725453	Tram 1: East Coburg => South Melbourne Beach	Glenlyon Road	122	
144.9715428,-37.7725453	Tram 6: Moreland railway station => Glen Iris	Glenlyon Road	122	
144.9720591,-37.7696425	Tram 1: East Coburg => South Melbourne Beach	Albert Street	123	
144.9720591,-37.7696425	Tram 6: Moreland railway station => Glen Iris	Albert Street	123	
144.9720041,-37.7697557	Tram 1: South Melbourne Beach => East Coburg	Albert Street	123	
144.9720041,-37.7697557	Tram 6: Glen Iris => Moreland railway station	Albert Street	123	
144.9714709,-37.7727581	Tram 1: South Melbourne Beach => East Coburg	Glenlyon Road	122	
144.9714709,-37.7727581	Tram 6: Glen Iris => Moreland railway station	Glenlyon Road	122	
144.9710694,-37.7755141	Tram 1: East Coburg => South Melbourne Beach	Weston Street	121	
144.9710694,-37.7755141	Tram 6: Moreland railway station => Glen Iris	Weston Street	121	
144.9710087,-37.7756549	Tram 1: South Melbourne Beach => East Coburg	Weston Street	121	
144.9710087,-37.7756549	Tram 6: Glen Iris => Moreland railway station	Weston Street	121	
144.9797336,-37.7702159	Tram 96: St Kilda Beach => East Brunswick	Albert Street	22	
144.9797316,-37.7704857	Tram 96: East Brunswick => St Kilda Beach	Albert Street	22	
144.9790964,-37.7740101	Tram 96: St Kilda Beach => East Brunswick	Glenlyon Road	21	
144.9792609,-37.773272	Tram 96: East Brunswick => St Kilda Beach	Glenlyon Road	21	
144.9786463,-37.7766342	Tram 96: St Kilda Beach => East Brunswick	Miller Street	20	
144.9786452,-37.7769008	Tram 96: East Brunswick => St Kilda Beach	Miller Street	20	
144.9782126,-37.779355	Tram 96: St Kilda Beach => East Brunswick	Brunswick Road	19	
144.9781875,-37.7798917	Tram 96: East Brunswick => St Kilda Beach	Brunswick Road	19	
144.9748439,-37.7984081	Tram 96: East Brunswick => St Kilda Beach	Johnston Street	13	
144.9749157,-37.7975315	Tram 96: St Kilda Beach => East Brunswick	Johnston Street	13	
144.9753731,-37.7948634	Tram 96: St Kilda Beach => East Brunswick	Rose Street	14	
144.9754055,-37.795151	Tram 96: East Brunswick => St Kilda Beach	Rose Street	14	
144.9759549,-37.792001	Tram 96: East Brunswick => St Kilda Beach	Alexandra Parade	15	
144.9765303,-37.7885226	Tram 96: St Kilda Beach => East Brunswick	Freeman Street	16	
144.9765591,-37.7887924	Tram 96: East Brunswick => St Kilda Beach	Freeman Street	16	
144.977128,-37.7853051	Tram 96: St Kilda Beach => East Brunswick	Reid Street	17	
144.9771621,-37.7855647	Tram 96: East Brunswick => St Kilda Beach	Reid Street	17	
144.9776272,-37.7830305	Tram 96: East Brunswick => St Kilda Beach	Scotchmer Street	18	
144.9775895,-37.7827968	Tram 96: St Kilda Beach => East Brunswick	Scotchmer Street	18	
144.994889,-37.7522782	Tram 11: West Preston => Victoria Harbour	Miller Street	34	
144.9884943,-37.7779171	Tram 11: West Preston => Victoria Harbour	Miller Street	25	
144.9883893,-37.7779847	Tram 11: Victoria Harbour => West Preston	Miller Street	25	
144.9868162,-37.7798638	Tram 11: West Preston => Victoria Harbour	Holden Street	24	
144.9865722,-37.780098	Tram 11: Victoria Harbour => West Preston	Holden Street	24	
144.9852311,-37.7817057	Tram 11: West Preston => Victoria Harbour	Park Street	23	
144.9853427,-37.7815276	Tram 11: Victoria Harbour => West Preston	Park Street	23	
144.9839508,-37.7831959	Tram 11: West Preston => Victoria Harbour	Scotchmer Street	22	
144.9837236,-37.783412	Tram 11: Victoria Harbour => West Preston	Scotchmer Street	22	
144.9819855,-37.785433	Tram 11: Victoria Harbour => West Preston	Alfred Crescent	21	
144.982087,-37.7853653	Tram 11: West Preston => Victoria Harbour	Alfred Crescent	21	
144.9801573,-37.7883001	Tram 11: Victoria Harbour => West Preston	Fitzroy Bowls Club	20	
144.9797315,-37.7908102	Tram 11: Victoria Harbour => West Preston	Newry Street	19	
144.9802159,-37.7881603	Tram 11: West Preston => Victoria Harbour	Fitzroy Bowls Club	20	
144.979815,-37.790525	Tram 11: West Preston => Victoria Harbour	Newry Street	19	
144.9793975,-37.7929868	Tram 11: West Preston => Victoria Harbour	Alexandra Parade	18	
144.9792627,-37.7935733	Tram 11: Victoria Harbour => West Preston	Alexandra Parade	18	
144.9789142,-37.7956274	Tram 11: Victoria Harbour => West Preston	Leicester Street	17	
144.979002,-37.7953177	Tram 11: West Preston => Victoria Harbour	Leicester Street	17	
144.9785095,-37.7982204	Tram 11: West Preston => Victoria Harbour	Johnston Street	16	
144.9784353,-37.7984501	Tram 11: Victoria Harbour => West Preston	Johnston Street	16	
144.9780971,-37.8004435	Tram 11: Victoria Harbour => West Preston	Bell Street	15	
144.9781159,-37.8005417	Tram 11: West Preston => Victoria Harbour	St David Street	15	
144.9777473,-37.8027125	Tram 11: West Preston => Victoria Harbour	King William Street	14	
144.9776897,-37.8028446	Tram 11: Victoria Harbour => West Preston	Hanover Street	14	
144.9771769,-37.8058601	Tram 11: Victoria Harbour => West Preston	Gertrude Street	13	
144.9772586,-37.8056009	Tram 11: West Preston => Victoria Harbour	Gertrude Street	13	
144.9684311,-37.79213	Tram 1: East Coburg => South Melbourne Beach	Princes Street	114	
144.9684311,-37.79213	Tram 6: Moreland railway station => Glen Iris	Princes Street	114	
144.9683102,-37.7926223	Tram 1: South Melbourne Beach => East Coburg	Princes Street	114	
144.9683102,-37.7926223	Tram 6: Glen Iris => Moreland railway station	Princes Street	114	
144.9692175,-37.7873681	Tram 1: South Melbourne Beach => East Coburg	Fenwick Street	116	
144.9692175,-37.7873681	Tram 6: Glen Iris => Moreland railway station	Fenwick Street	116	
144.969289,-37.787187	Tram 1: East Coburg => South Melbourne Beach	Fenwick Street	116	
144.969289,-37.787187	Tram 6: Moreland railway station => Glen Iris	Fenwick Street	116	
144.9700996,-37.781926	Tram 1: South Melbourne Beach => East Coburg	Pigdon Street	118	
144.9700996,-37.781926	Tram 6: Glen Iris => Moreland railway station	Pigdon Street	118	
144.9702035,-37.7815314	Tram 1: East Coburg => South Melbourne Beach	Pigdon Street	118	
144.9702035,-37.7815314	Tram 6: Moreland railway station => Glen Iris	Pigdon Street	118	
144.9707492,-37.7781236	Tram 1: East Coburg => South Melbourne Beach	Brunswick Road	120	
144.9707492,-37.7781236	Tram 6: Moreland railway station => Glen Iris	Brunswick Road	120	
144.9688344,-37.7895613	Tram 1: South Melbourne Beach => East Coburg	Melbourne Cemetery East, Newry Street	115	
144.9688344,-37.7895613	Tram 6: Glen Iris => Moreland railway station	Melbourne Cemetery East, Newry Street	115	
144.9689213,-37.7892887	Tram 1: East Coburg => South Melbourne Beach	Melbourne Cemetery East, Newry Street	115	
144.9689213,-37.7892887	Tram 6: Moreland railway station => Glen Iris	Melbourne Cemetery East, Newry Street	115	
144.945602,-37.8023886	Tram 57: West Maribyrnong => Flinders Street railway station	Queensberry Street	14	
144.9457412,-37.8026356	Tram 57: Flinders Street railway station => West Maribyrnong	Abbotsford Street	14	
144.949416,-37.8030181	Tram 57: West Maribyrnong => Flinders Street railway station	North Melbourne Town Hall	12	
144.9471813,-37.7937496	Tram 57: Flinders Street railway station => West Maribyrnong	Abbotsford Street Interchange	19	
144.9434705,-37.7904528	Tram 59: Flinders Street railway station => Airport West	Melrose Street	20	
144.9434705,-37.7904528	Tram 57: Flinders Street railway station => West Maribyrnong	Melrose Street	20	
144.9435065,-37.7904332	Tram 59: Airport West => Flinders Street railway station	Melrose Street	20	
144.9435065,-37.7904332	Tram 57: West Maribyrnong => Flinders Street railway station	Melrose Street	20	
144.9401899,-37.7892109	Tram 57: Flinders Street railway station => West Maribyrnong	Boundary Road	22	
144.9483524,-37.8029258	Tram 57: Flinders Street railway station => West Maribyrnong	Curzon Street	13	
144.9479455,-37.8028473	Tram 57: West Maribyrnong => Flinders Street railway station	Curzon Street	13	
144.952001,-37.8054244	Tram 57: West Maribyrnong => Flinders Street railway station	Chetwynd Street	10	
144.9524331,-37.8055038	Tram 57: Flinders Street railway station => West Maribyrnong	Chetwynd Street	10	
144.9597914,-37.7817024	Tram 19: North Coburg => Flinders Street railway station	Ievers Street	17	
144.9575119,-37.7999274	Tram 19: Flinders Street railway station => North Coburg	Parkville Station and Royal Melbourne Hospital	10	
144.9575978,-37.7995443	Tram 19: North Coburg => Flinders Street railway station	Parkville Station and Royal Melbourne Hospital	10	
144.9580389,-37.7956428	Tram 19: Flinders Street railway station => North Coburg	Morrah Street	12	
144.9580895,-37.7955348	Tram 19: North Coburg => Flinders Street railway station	Morrah Street	12	
144.9584718,-37.7924117	Tram 19: North Coburg => Flinders Street railway station	Gatehouse Street	13	
144.9584005,-37.7926953	Tram 19: Flinders Street railway station => North Coburg	Gatehouse Street	13	
144.9588042,-37.789704	Tram 19: North Coburg => Flinders Street railway station	Cemetery Road West	14	
144.9587253,-37.7900446	Tram 19: Flinders Street railway station => North Coburg	Macarthur Road	14	
144.9593617,-37.7848536	Tram 19: Flinders Street railway station => North Coburg	Walker Street	16	
144.9590543,-37.7876591	Tram 19: North Coburg => Flinders Street railway station	Leonard Street	15	
144.9594391,-37.7845284	Tram 19: North Coburg => Flinders Street railway station	Walker Street	16	
144.9589825,-37.7879275	Tram 19: Flinders Street railway station => North Coburg	Leonard Street	15	
144.9597338,-37.7818688	Tram 19: Flinders Street railway station => North Coburg	Ievers Street	17	
144.9603368,-37.777483	Tram 19: Flinders Street railway station => North Coburg	Brunswick Road	19	
144.9603437,-37.7776158	Tram 19: North Coburg => Flinders Street railway station	Brunswick Road	19	
144.9581384,-37.8060922	Tram 57: West Maribyrnong => Flinders Street railway station	Peel Street	8	
144.957346,-37.8060597	Tram 57: Flinders Street railway station => West Maribyrnong	Peel Street	8	
144.9539648,-37.8056732	Tram 57: Flinders Street railway station => West Maribyrnong	Howard Street	9	
144.9534868,-37.8055893	Tram 57: West Maribyrnong => Flinders Street railway station	Howard Street	9	
144.9567638,-37.801568	Tram 58: West Coburg => Toorak	Flemington Road	12	
144.9567579,-37.8013938	Tram 58: Toorak => West Coburg	Flemington Road	12	
144.9912988,-37.7513778	Tram 11: Victoria Harbour => West Preston	Bracken Avenue	36	
144.9908921,-37.7513112	Tram 11: West Preston => Victoria Harbour	Devon Street	36	
144.9881034,-37.7502811	Tram 11: Victoria Harbour => West Preston	Miller Street	37	
144.9880885,-37.7505741	Tram 11: West Preston => Victoria Harbour	Miller Street	37	
144.9889021,-37.7455969	Tram 11: West Preston => Victoria Harbour	Latona Avenue	39	
144.9884677,-37.7480378	Tram 11: Victoria Harbour => West Preston	Oakover Road	38	
144.988475,-37.7481986	Tram 11: West Preston => Victoria Harbour	Oakover Road	38	
144.9888575,-37.7456575	Tram 11: Victoria Harbour => West Preston	Latona Avenue	39	
144.9891105,-37.7440995	Tram 11: Victoria Harbour => West Preston	Bell Street	40	
144.9892325,-37.7436001	Tram 11: West Preston => Victoria Harbour	Bell Street	40	
144.9896459,-37.7409703	Tram 11: West Preston => Victoria Harbour	Bruce Street	41	
144.9895544,-37.7413079	Tram 11: Victoria Harbour => West Preston	Bruce Street	41	
144.9898949,-37.7391376	Tram 11: Victoria Harbour => West Preston	Cramer Street	42	
144.9899718,-37.7388845	Tram 11: West Preston => Victoria Harbour	Cramer Street	42	
144.9902732,-37.7367246	Tram 11: Victoria Harbour => West Preston	Murray Road	43	
144.9903498,-37.7364832	Tram 11: West Preston => Victoria Harbour	Murray Road	43	
144.9906749,-37.734577	Tram 11: West Preston => Victoria Harbour	Cooper Street	44	
144.9906438,-37.734551	Tram 11: Victoria Harbour => West Preston	Cooper Street	44	
144.9909871,-37.7327408	Tram 11: West Preston => Victoria Harbour	Jacka Street	45	
144.9909138,-37.7329705	Tram 11: Victoria Harbour => West Preston	Jacka Street	45	
144.9914079,-37.7300439	Tram 11: Victoria Harbour => West Preston	McNamara Street	46	
144.9915896,-37.7292342	Tram 11: Victoria Harbour => West Preston	Regent Street	47	
144.9915896,-37.7292342	Tram 11: West Preston => Victoria Harbour	Regent Street	47	
144.9743846,-37.7594072	Tram 1: South Melbourne Beach => East Coburg	Mitchell Street	128	
144.9743846,-37.7594072	Tram 6: Glen Iris => Moreland railway station	Mitchell Street	128	
144.9748221,-37.7568688	Tram 1: South Melbourne Beach => East Coburg	Moreland Road	129	
144.9748221,-37.7568688	Tram 6: Glen Iris => Moreland railway station	Moreland Road	129	
144.9744481,-37.7592591	Tram 1: East Coburg => South Melbourne Beach	Mitchell Street	128	
144.9744481,-37.7592591	Tram 6: Moreland railway station => Glen Iris	Mitchell Street	128	
144.9745506,-37.7566144	Tram 6: Moreland railway station => Glen Iris	Holmes Street	129	
144.9749367,-37.7565293	Tram 1: East Coburg => South Melbourne Beach	Moreland Road	129	
144.9701272,-37.7561524	Tram 6: Glen Iris => Moreland railway station	Barrow Street	130	
144.9698917,-37.7560983	Tram 6: Moreland railway station => Glen Iris	Barrow Street	130	
144.9664825,-37.7557478	Tram 6: Glen Iris => Moreland railway station	De Carle Street	131	
144.9663878,-37.7557039	Tram 6: Moreland railway station => Glen Iris	De Carle Street	131	
144.9761139,-37.7533773	Tram 1: East Coburg => South Melbourne Beach	The Avenue	130	
144.9758874,-37.7538862	Tram 1: South Melbourne Beach => East Coburg	The Avenue	130	
144.998986,-37.7694231	Tram 86: Waterfront City => RMIT University Bundoora Campus	Arthurton Road	33	
144.9945501,-37.785663	Tram 86: Waterfront City => RMIT University Bundoora Campus	Clifton Hill Interchange	25	
144.9939498,-37.7862834	Tram 86: RMIT University Bundoora Campus => Waterfront City	Clifton Hill Interchange	25	
144.9827456,-37.806316	Tram 86: Waterfront City => RMIT University Bundoora Campus	Smith Street	15	
144.9770549,-37.8057105	Tram 86: Waterfront City => RMIT University Bundoora Campus	Brunswick Street	13	
144.9797899,-37.8060378	Tram 86: RMIT University Bundoora Campus => Waterfront City	Napier Street	14	
144.9792753,-37.805952	Tram 86: Waterfront City => RMIT University Bundoora Campus	Napier Street	14	
144.9773728,-37.8057752	Tram 86: RMIT University Bundoora Campus => Waterfront City	Brunswick Street	13	
144.983047,-37.8062151	Tram 86: RMIT University Bundoora Campus => Waterfront City	Gertrude Street	15	
